Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SOAPCases,,,,2019-05-03 18:12:05,2019-05-03 18:12:11,"6,036s",PASSED
,,,,,,,
Test Cases/CalculatorTests/Addition,,,,2019-05-03 18:12:05,2019-05-03 18:12:10,"5,052s",PASSED
"sendRequest(findTestObject(""CalculatorSoapService/Addition""))",,,,2019-05-03 18:12:06,2019-05-03 18:12:08,"2,712s",PASSED
"response = sendRequestAndVerify(findTestObject(""CalculatorSoapService/Addition""))",,,,2019-05-03 18:12:08,2019-05-03 18:12:10,"1,942s",PASSED
"verifyElementPropertyValue(response, ""AddResponse.AddResult"", ""6"")",,,,2019-05-03 18:12:10,2019-05-03 18:12:10,"0,083s",PASSED
,,,,,,,
Test Cases/GetBankDetails,,,,2019-05-03 18:12:10,2019-05-03 18:12:11,"0,712s",PASSED
"sendRequest(findTestObject(""SOAP/getBank""))",,,,2019-05-03 18:12:11,2019-05-03 18:12:11,"0,560s",PASSED
